City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
126,Valer,NO,60.6785,11.8331,33.01,68,0,3.0,clear sky
127,Broome,US,42.2506,-75.833,44.6,36,1,8.05,clear sky
128,Tautira,PF,-17.7333,-149.15,86.0,54,20,5.75,few clouds
129,Udachnyy,RU,66.4167,112.4,-1.66,89,100,7.76,overcast clouds
130,Rocha,UY,-34.4833,-54.3333,64.18,97,7,5.59,clear sky
131,Umm Kaddadah,SD,13.6017,26.6876,72.77,6,0,11.65,clear sky
132,Trenggalek,ID,-8.05,111.7167,80.1,82,100,1.74,overcast clouds
133,Krasnoselkup,RU,65.7,82.4667,29.26,92,100,9.08,overcast clouds
134,Ulaangom,MN,49.9811,92.0667,39.4,32,0,1.14,clear sky
135,Nyurba,RU,63.2842,118.3319,1.98,91,88,1.34,overcast clouds
136,Nuevo Progreso,MX,23.1667,-97.95,72.0,61,4,1.01,clear sky
137,Surt,LY,31.2089,16.5887,61.43,81,94,23.67,overcast clouds
138,Vardo,NO,70.3705,31.1107,36.72,85,100,22.21,light rain
139,Waipawa,NZ,-41.4122,175.5153,66.0,82,61,8.05,broken clouds
140,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,77,75,19.57,snow
141,Wewak,PG,-3.5534,143.6268,76.44,88,100,3.98,overcast clouds
142,Norman Wells,CA,65.282,-126.8329,8.6,56,75,18.41,snow
143,Bontang,ID,0.1333,117.5,80.13,77,94,3.09,overcast clouds
144,Port Alfred,ZA,-33.5906,26.891,62.02,83,100,5.7,light rain
145,Juazeiro,BR,-9.4117,-40.4986,78.8,73,75,11.5,broken clouds
146,Puli,TW,23.9664,120.9695,71.6,49,20,6.91,few clouds
147,Cumra,TR,37.5732,32.7745,48.2,53,75,6.91,broken clouds
148,Ozernovskiy,RU,51.5,156.5167,28.92,89,100,17.25,light snow
149,Faanui,PF,-16.4833,-151.75,81.32,71,100,16.17,light rain
150,Sao Filipe,CV,14.8961,-24.4956,75.51,63,5,11.07,clear sky
151,Torbay,CA,47.6666,-52.7314,41.0,100,90,10.36,fog
152,Nanortalik,GL,60.1432,-45.2371,35.58,89,100,6.93,overcast clouds
153,Gushikawa,JP,26.3544,127.8686,69.8,60,75,14.97,broken clouds
154,Katsuura,JP,35.1333,140.3,52.0,66,75,16.11,broken clouds
155,Gurun,MY,5.8172,100.4738,82.99,83,20,3.44,few clouds
156,Waitati,NZ,-45.75,170.5667,63.0,58,0,10.0,clear sky
157,Thompson,CA,55.7435,-97.8558,33.8,93,90,12.66,light snow
158,Gwadar,PK,25.1216,62.3254,78.62,75,37,14.88,scattered clouds
159,Madang,PG,-5.2246,145.7966,83.21,71,100,1.28,overcast clouds
160,Goundam,ML,16.4145,-3.6708,83.66,9,94,9.55,overcast clouds
161,Koumac,NC,-20.5667,164.2833,81.37,59,97,2.28,overcast clouds
162,Pevek,RU,69.7008,170.3133,-9.0,94,99,5.19,overcast clouds
163,Karratha,AU,-20.7377,116.8463,88.18,30,13,6.06,few clouds
164,Narsaq,GL,60.9167,-46.05,37.4,81,75,4.76,broken clouds
165,Mbigou,GA,-1.9005,11.906,67.42,97,91,1.1,light rain
166,Tateyama,JP,34.9833,139.8667,53.6,66,75,26.46,broken clouds
167,Lavrentiya,RU,65.5833,-171.0,3.85,86,79,7.31,broken clouds
168,Hamilton,US,39.1834,-84.5333,64.4,51,1,5.57,clear sky
169,Eureka,US,40.8021,-124.1637,57.0,65,0,5.99,clear sky
170,Abbeville,FR,50.1,1.8333,39.2,45,0,17.27,clear sky
171,Taixing,CN,32.1667,120.0136,62.01,58,68,5.59,broken clouds
172,Bo Rai,TH,12.5728,102.5371,84.99,63,97,1.3,overcast clouds
173,Sept-Iles,CA,50.2001,-66.3821,42.8,100,100,4.61,overcast clouds
174,Dobryatino,RU,55.5055,41.3195,29.26,91,45,7.27,scattered clouds
175,Sretensk,RU,52.2453,117.7093,25.36,24,3,6.8,clear sky
176,Port Augusta,AU,-32.5,137.7667,81.0,68,0,8.05,clear sky
177,Kavieng,PG,-2.5744,150.7967,84.25,69,97,4.34,overcast clouds
178,Calvia,ES,39.5657,2.5062,57.0,76,6,1.99,clear sky
179,Alta Floresta,BR,-9.8756,-56.0861,73.18,93,100,2.3,overcast clouds
180,Kautokeino,NO,69.0125,23.0412,29.01,96,100,10.02,snow
181,Saint-Philippe,RE,-21.3585,55.7679,78.8,65,0,8.05,clear sky
182,Seoul,KR,37.5683,126.9778,55.4,58,0,4.61,clear sky
183,Lucapa,AO,-8.4192,20.7447,65.25,95,100,1.39,overcast clouds
184,Manta,EC,-0.95,-80.7333,80.6,78,75,6.91,broken clouds
185,Husavik,IS,66.0449,-17.3389,21.2,68,90,3.44,light snow
186,Iquique,CL,-20.2208,-70.1431,68.0,77,0,14.97,clear sky
187,Anloga,GH,5.7947,0.8973,84.2,84,20,8.05,few clouds
188,Fethiye,TR,36.6217,29.1164,53.6,94,75,6.91,broken clouds
189,Avera,US,33.194,-82.5271,64.4,42,1,3.44,clear sky
190,Nikolskoye,RU,59.7035,30.7861,33.01,93,75,6.71,snow
191,Saint George,US,37.1041,-113.5841,82.99,6,1,17.27,clear sky
192,Mecca,SA,21.4267,39.8261,76.32,56,0,1.23,clear sky
193,Meulaboh,ID,4.1363,96.1285,78.98,85,97,4.41,overcast clouds
194,Dafeng,CN,23.4517,108.5881,69.87,70,63,3.76,broken clouds
195,Sao Felix Do Xingu,BR,-6.6447,-51.995,73.51,90,72,1.52,broken clouds
196,Eyl,SO,7.9803,49.8164,75.76,74,89,7.61,overcast clouds
197,Kapoeta,SS,4.7717,33.5903,77.45,68,91,11.12,overcast clouds
198,Bengkulu,ID,-3.8004,102.2655,76.93,86,100,3.96,light rain
199,Kaitangata,NZ,-46.2817,169.8464,68.0,41,2,15.01,clear sky
200,Vila Velha,BR,-20.3297,-40.2925,77.0,94,0,3.44,clear sky
201,Mahebourg,MU,-20.4081,57.7,77.0,83,40,3.44,light rain
202,Pangnirtung,CA,66.1451,-65.7125,8.47,96,100,3.2,overcast clouds
203,Smithers,CA,54.7804,-127.1743,44.6,42,75,6.91,broken clouds
204,Dongsheng,CN,39.8161,109.9776,39.83,75,100,4.5,overcast clouds
205,Avarua,CK,-21.2078,-159.775,84.2,74,75,17.27,broken clouds
206,Amapa,BR,1.0,-52.0,72.36,98,100,2.33,overcast clouds
207,Salalah,OM,17.0151,54.0924,89.6,14,0,18.41,clear sky
208,Russell,US,32.3502,-85.1999,69.8,58,1,3.85,clear sky
209,Ahipara,NZ,-35.1667,173.1667,71.15,63,41,8.28,scattered clouds
210,Lompoc,US,34.6391,-120.4579,57.2,67,100,14.97,overcast clouds
211,Aripuana,BR,-9.1667,-60.6333,74.68,95,100,2.75,light rain
212,Quesnel,CA,52.9999,-122.5029,53.6,35,1,2.3,clear sky
213,Evanston,US,42.0411,-87.6901,71.6,40,20,6.91,few clouds
214,Lamu,KE,-2.2717,40.902,80.6,89,1,3.44,clear sky
215,Carballo,ES,43.213,-8.691,50.0,87,3,1.01,clear sky
216,Quatre Cocos,MU,-20.2078,57.7625,79.0,88,75,3.44,light rain
217,Taoudenni,ML,22.6783,-3.9836,78.48,8,0,9.4,clear sky
218,Elk River,US,45.3038,-93.5672,73.99,54,48,16.49,light rain
219,Chifeng,CN,42.2683,118.9636,50.07,26,3,3.22,clear sky
220,Novyy Urengoy,RU,66.0833,76.6333,31.05,95,100,6.24,overcast clouds
221,Victoria,HK,22.2855,114.1577,73.99,81,100,1.99,overcast clouds
222,Wang Saphung,TH,17.301,101.7685,82.0,94,75,5.75,broken clouds
223,Arraial Do Cabo,BR,-22.9661,-42.0278,68.0,94,20,2.3,few clouds
224,Kampene,CD,-3.6,26.6667,68.09,96,100,2.77,overcast clouds
225,Longyearbyen,SJ,78.2186,15.6401,12.2,62,40,20.71,scattered clouds
226,Hearst,CA,49.6835,-83.6665,48.2,40,100,9.22,overcast clouds
227,Yaan,NG,7.3833,8.5667,83.26,64,83,12.55,broken clouds
228,Qaanaaq,GL,77.484,-69.3632,0.18,58,100,2.53,overcast clouds
229,Samarai,PG,-10.6167,150.6667,83.59,77,38,6.62,scattered clouds
230,Valdez,EC,1.2492,-78.9831,77.74,88,100,7.78,moderate rain
231,Lieksa,FI,63.3167,30.0167,29.26,78,100,16.28,overcast clouds
232,Codrington,AU,-38.2667,141.9667,63.93,62,100,11.3,overcast clouds
233,Kiruna,SE,67.8557,20.2251,30.2,93,90,14.97,snow
234,Saldanha,ZA,-33.0117,17.9442,57.2,82,4,3.44,clear sky
235,Nome,US,64.5011,-165.4064,3.99,78,90,16.11,overcast clouds
236,Sampit,ID,-2.5333,112.95,79.65,83,100,1.88,overcast clouds
237,Sokoni,TZ,-6.4333,39.55,80.46,80,59,11.16,moderate rain
238,Jiaocheng,CN,24.6774,116.1389,79.3,56,9,1.57,clear sky
239,Tucuma,BR,-0.1833,-50.05,76.53,93,89,5.39,overcast clouds
240,Kot Addu,PK,30.4692,70.9671,71.6,56,75,9.8,smoke
241,Castro,BR,-24.7911,-50.0119,59.18,95,95,6.51,overcast clouds
242,Tarn Taran,IN,31.45,74.9253,68.0,49,40,4.61,haze
243,Shepsi,RU,44.0361,39.1489,44.94,78,57,4.36,broken clouds
244,Yerbogachen,RU,61.2767,108.0108,18.16,91,98,3.78,overcast clouds
245,Henties Bay,NA,-22.116,14.2845,59.0,94,0,5.01,clear sky
246,Hofn,IS,64.2539,-15.2082,20.77,55,7,15.48,clear sky
247,Markova,UA,48.6758,24.4138,38.21,66,100,2.33,overcast clouds
248,Arlit,NE,18.7369,7.3853,78.75,7,0,5.59,clear sky
249,Waingapu,ID,-9.6567,120.2641,74.62,79,100,23.71,overcast clouds
250,Pyshma,RU,56.9523,63.2513,30.7,86,23,10.98,few clouds
251,Zaysan,KZ,47.4667,84.8667,43.3,79,100,5.35,overcast clouds
252,Chisec,GT,15.8167,-90.2833,62.6,77,75,3.27,broken clouds
